timestamp,starting_souls,souls_from_run,best_run,worst_run,app_startup,current_run_end_utc,current_run_start_utc,walk_one,walk_two,turn_angle
1649341388,82195708,82207479,1,99999,2022-04-07 14:22:36.344435200 UTC,2022-04-07 14:23:03.391514500 UTC,2022-04-07 14:22:36.121245 UTC,115,76,90
timestamp,starting_souls,souls_from_run,best_run,worst_run,app_startup,current_run_end_utc,current_run_start_utc,walk_one,walk_two,turn_angle
1649341404,82195708,31882,31882,31882,2022-04-07 14:22:36.344435200 UTC,2022-04-07 14:23:20.160306200 UTC,2022-04-07 14:22:36.121245 UTC,115,76,90
timestamp,starting_souls,souls_from_run,best_run,worst_run,app_startup,current_run_end_utc,current_run_start_utc,walk_one,walk_two,turn_angle
1649341421,82195708,34334,34334,31882,2022-04-07 14:22:36.344435200 UTC,2022-04-07 14:23:36.914909900 UTC,2022-04-07 14:22:36.121245 UTC,115,76,90
timestamp,starting_souls,souls_from_run,best_run,worst_run,app_startup,current_run_end_utc,current_run_start_utc,walk_one,walk_two,turn_angle
1649341438,82195708,28939,34334,28939,2022-04-07 14:22:36.344435200 UTC,2022-04-07 14:23:53.667656600 UTC,2022-04-07 14:22:36.121245 UTC,115,76,90
timestamp,starting_souls,souls_from_run,best_run,worst_run,app_startup,current_run_end_utc,current_run_start_utc,walk_one,walk_two,turn_angle
1649341713,82376207,82376206,1,99999,2022-04-07 14:28:02.811749400 UTC,2022-04-07 14:28:29.216117200 UTC,2022-04-07 14:28:02.582652700 UTC,102,62,90
timestamp,starting_souls,souls_from_run,best_run,worst_run,app_startup,current_run_end_utc,current_run_start_utc,walk_one,walk_two,turn_angle
1649341730,82376207,31882,31882,31882,2022-04-07 14:28:02.811749400 UTC,2022-04-07 14:28:45.418989600 UTC,2022-04-07 14:28:02.582652700 UTC,104,64,90
timestamp,starting_souls,souls_from_run,best_run,worst_run,app_startup,current_run_end_utc,current_run_start_utc,walk_one,walk_two,turn_angle
1649341746,82376207,34334,34334,31882,2022-04-07 14:28:02.811749400 UTC,2022-04-07 14:29:01.747191800 UTC,2022-04-07 14:28:02.582652700 UTC,106,66,90
timestamp,starting_souls,souls_from_run,best_run,worst_run,app_startup,current_run_end_utc,current_run_start_utc,walk_one,walk_two,turn_angle
1649341762,82376207,34334,34334,31882,2022-04-07 14:28:02.811749400 UTC,2022-04-07 14:29:18.165017300 UTC,2022-04-07 14:28:02.582652700 UTC,108,68,90
timestamp,starting_souls,souls_from_run,best_run,worst_run,app_startup,current_run_end_utc,current_run_start_utc,walk_one,walk_two,turn_angle
1649341779,82376207,34334,34334,31882,2022-04-07 14:28:02.811749400 UTC,2022-04-07 14:29:34.655516 UTC,2022-04-07 14:28:02.582652700 UTC,110,70,90
timestamp,starting_souls,souls_from_run,best_run,worst_run,app_startup,current_run_end_utc,current_run_start_utc,walk_one,walk_two,turn_angle
1649341795,82376207,34334,34334,31882,2022-04-07 14:28:02.811749400 UTC,2022-04-07 14:29:51.254717500 UTC,2022-04-07 14:28:02.582652700 UTC,112,72,90
